Post code,Special code,Submunicipality code,Région code,Province code,Arrondissement code,Municipality code,Sub-municipality name (French),Sub-municipality name (Dutch),Sub-municipality name (German),Région name (German),Région name (Dutch),Région name (French),Province name (German),Province name (Dutch),Province name (French),Arrondissement name (German),Arrondissement name (Dutch),Arrondissement name (French),Municipality name (German),Municipality name (Dutch),Municipality name (French)
5571,0,91013H,3000,90000,91000,91013,Wiesme,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Dinant,,,Beauraing
5080,0,92141A,3000,90000,92000,92141,Émines,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Namur,,,La Bruyère
5543,0,91142E,3000,90000,91000,91142,Heer,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Dinant,,,Hastière
3581,0,71004D,2000,70000,71000,71004,,Beverlo,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Hasselt,,,Beringen,
3583,0,71004B,2000,70000,71000,71004,,Paal,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Hasselt,,,Beringen,
3590,0,71011A,2000,70000,71000,71011,,Diepenbeek,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Hasselt,,,Diepenbeek,
3640,0,72018B,2000,70000,72000,72018,,Molenbeersel,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Maaseik,,,Kinrooi,
3717,0,73028A,2000,70000,73000,73028,,Herstappe,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Tongeren,Tongres,,Herstappe,Herstappe
3891,0,71017D,2000,70000,71000,71017,,Buvingen,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Hasselt,,,Gingelom,
3980,0,71057A,2000,70000,71000,71057,,Tessenderlo,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Hasselt,,,Tessenderlo,
8553,0,34042B,2000,30000,34000,34042,,Otegem,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Kortrijk,Courtrai,,Zwevegem,
6870,0,84059D,3000,80000,84000,84059,Arville,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Neufchâteau,,,Saint-Hubert
7504,0,57081M-II,3000,50000,57000,57081,Froidmont,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Tournai
7822,0,51004E,3000,50000,51000,51004,Meslin-l'Évêque,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Aat,Ath,,,Ath
1401,0,25072B,3000,20002,25000,25072,Baulers,,,Wallonische Region,Waals Gewest,Région wallonne,,,Brabant wallon (le),,,Nivelles,,,Nivelles
1460,0,25044A,3000,20002,25000,25044,Ittre,,,Wallonische Region,Waals Gewest,Région wallonne,,,Brabant wallon (le),,,Nivelles,,,Ittre
2640,0,11029A,2000,10000,11000,11029,,Mortsel,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Mortsel,
2382,0,13035C,2000,10000,13000,13035,,Poppel,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Turnhout,,,Ravels,
2310,0,13037A,2000,10000,13000,13037,,Rijkevorsel,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Turnhout,,,Rijkevorsel,
2547,0,11025A,2000,10000,11000,11025,,Lint,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Lint,
2845,0,11030A,2000,10000,11000,11030,,Niel,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Niel,
2060,0,11002-Z,2000,10000,11000,11002,,Antwerpen,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Antwerpen,
2627,0,11038A,2000,10000,11000,11038,,Schelle,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Schelle,
2381,0,13035B,2000,10000,13000,13035,,Weelde,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Turnhout,,,Ravels,
2150,0,11007A,2000,10000,11000,11007,,Borsbeek,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Borsbeek,
2387,0,13002A,2000,10000,13000,13002,,Baarle-Hertog,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Turnhout,,,Baarle-Hertog,
3472,0,24054D,2000,20001,24000,24054,,Kersbeek-Miskom,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Kortenaken,
3272,0,24134D,2000,20001,24000,24134,,Testelt,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Scherpenheuvel-Zichem,
3212,0,24066C,2000,20001,24000,24066,,Pellenberg,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Lubbeek,
1640,0,23101A,2000,20001,23000,23101,,Sint-Genesius-Rode,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Sint-Genesius-Rode,Rhode-Saint-Genèse
3450,0,24028A,2000,20001,24000,24028,,Geetbets,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Geetbets,
1540,0,23032A,2000,20001,23000,23032,,Herne,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Herne,
9473,0,41011C,2000,40000,41000,41011,,Welle,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Aalst,,,Denderleeuw,
9112,0,46021D,2000,40000,46000,46021,,Sinaai,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Sint-Niklaas,,,Sint-Niklaas,
