Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped
Gent,9000,Province of East Flanders,Apartment,apartment,229000,1,44,0,0,0,0,0,0,0,0,0,2,B,190,Good,Apartments
Uccle,1180,Brussels-Capital Region,House,villa,1250000,4,584,1,0,0,0,0,1,1085,0,1225,4,G,402,To renovate,Luxury Properties
Etterbeek,1040,Brussels-Capital Region,House,house,875000,4,233,1,0,0,1,21,0,0,0,112,3,G,563,To be done up,Houses
Elversele,9140,Province of East Flanders,House,villa,825000,4,281,0,0,0,0,0,0,0,1,1450,4,B,181,As new,Luxury Properties
Berlaar,2590,Province of Antwerp,Apartment,apartment,334000,2,93,1,0,0,0,0,0,0,0,0,0,A,2,Not specified,Apartments
Maldegem,9990,Province of East Flanders,House,house,749000,6,450,1,0,1,1,25,1,405,0,583,4,C,262,As new,Houses
Hoegaarden,3320,Province of Flemish Brabant,House,house,299000,3,141,0,0,0,0,0,0,0,0,216,2,C,245,Good,Houses
Antwerpen,2020,Province of Antwerp,Apartment,apartment,210000,2,89,1,0,0,1,5,0,0,0,0,0,C,283,Not specified,Apartments
Bievre,5555,Province of Namur,House,house,269000,3,130,1,0,0,1,40,0,0,0,270,2,B,118,Just renovated,Houses
Keerbergen,3140,Province of Flemish Brabant,House,house,699000,3,255,1,0,0,0,0,0,0,1,1380,4,B,194,As new,Houses
Seraing,4102,Province of Liège,House,house,59000,1,48,1,0,0,1,22,0,0,0,68,2,G,529,To be done up,Houses
Uccle,1180,Brussels-Capital Region,House,house,585000,3,200,1,0,0,1,20,1,50,0,0,2,E,250,As new,Houses
Wilrijk,2610,Province of Antwerp,Apartment,apartment,210000,2,89,1,0,0,1,5,0,0,0,0,0,C,283,Not specified,Apartments
La-louviere-houdeng-goegnies,7110,Province of Hainaut,House,house,159000,2,117,0,0,0,0,0,0,0,0,298,3,E,367,Good,Houses
Jette,1090,Brussels-Capital Region,Apartment,apartment,299000,3,128,1,0,0,0,0,0,0,0,0,2,G,405,Good,Apartments
Aalst,9320,Province of East Flanders,House,apartment-block,699000,7,525,0,0,0,1,20,0,0,0,330,2,B,181,To renovate,Specialized Properties
Deinze,9800,Province of East Flanders,Apartment,apartment,229000,2,80,1,0,0,0,0,0,0,0,0,2,B,132,As new,Apartments
Moorsele,8560,Province of West Flanders,House,villa,795000,3,300,0,0,0,0,0,0,0,0,2422,0,Not specified,317,Not specified,Luxury Properties
Ixelles,1050,Brussels-Capital Region,House,house,875000,4,233,1,0,0,1,21,0,0,0,112,3,G,563,To be done up,Houses
Habay-orsinfaing,6724,Province of Luxembourg,House,exceptional-property,749000,5,608,1,1,0,1,130,1,1200,1,6595,3,D,274,Good,Luxury Properties
Uccle,1180,Brussels-Capital Region,House,house,850000,4,230,1,0,0,1,50,1,262,0,250,2,E,245,Good,Houses
Ronse,9600,Province of East Flanders,House,country-cottage,239000,3,160,0,0,0,0,0,0,0,0,410,4,B,192,To be done up,Houses
Antwerpen,2060,Province of Antwerp,House,mixed-use-building,149000,0,67,0,0,0,1,10,1,10,0,73,3,B,317,Just renovated,Specialized Properties
Sint-lievens-houtem,9520,Province of East Flanders,House,villa,549000,4,210,1,0,0,0,0,0,0,0,3582,4,F,701,Good,Luxury Properties
Brugge,8000,Province of West Flanders,House,house,695000,6,340,0,0,0,0,0,0,0,0,0,4,E,455,Good,Houses
Belsele,9111,Province of East Flanders,House,house,675000,5,360,1,0,0,1,50,1,1900,0,2200,3,Not specified,317,Just renovated,Houses
Brugge,8000,Province of West Flanders,House,mansion,788000,4,380,0,0,0,0,0,0,0,0,148,0,B,195,Good,Luxury Properties
Bruxelles,1120,Brussels-Capital Region,House,apartment-block,565000,4,215,0,0,1,1,22,1,105,0,0,2,G,793,Good,Specialized Properties
Comblain-au-pont,4171,Province of Liège,House,house,150000,3,104,1,0,0,1,15,1,15,0,193,4,F,444,To be done up,Houses
Ledeberg,9050,Province of East Flanders,House,house,299000,4,155,0,0,0,0,0,0,0,0,128,2,C,247,To renovate,Houses
Manage,7170,Province of Hainaut,House,house,119000,4,165,0,0,0,0,0,0,0,0,90,3,E,372,Good,Houses
Lasne,1380,Province of Walloon Brabant,House,house,830000,5,222,1,0,0,1,30,1,1850,0,2031,4,C,251,Good,Houses
Gent,9000,Province of East Flanders,House,house,299000,4,155,0,0,0,0,0,0,0,0,128,2,C,247,To renovate,Houses
Saint-ghislain-baudour,7331,Province of Hainaut,House,house,180000,3,192,0,0,0,0,0,1,1500,0,1620,4,G,516,To renovate,Houses
Liege-jupillesur-meuse,4020,Province of Liège,House,mixed-use-building,155000,3,120,0,0,0,0,0,0,0,0,90,3,F,476,Good,Specialized Properties
Liege,4020,Province of Liège,House,apartment-block,99000,3,109,0,0,0,1,14,1,140,0,198,2,F,476,To renovate,Specialized Properties
Wavre,1300,Province of Walloon Brabant,House,house,545000,6,360,0,0,1,1,20,0,0,0,1277,4,D,329,Not specified,Houses
Forest,1190,Brussels-Capital Region,House,house,765000,5,360,0,0,0,1,18,1,500,0,820,3,G,395,To be done up,Houses
Ixelles,1050,Brussels-Capital Region,House,mixed-use-building,899000,5,253,0,0,0,0,0,1,30,0,90,2,F,293,Good,Specialized Properties
Koksijde,8670,Province of West Flanders,House,house,675000,4,373,0,0,1,0,0,0,0,0,566,4,B,317,Not specified,Houses
Brussel,1020,Brussels-Capital Region,House,villa,1050000,6,391,1,0,0,1,51,0,0,0,1592,4,F,328,Not specified,Luxury Properties
Villers-la-ville,1495,Province of Walloon Brabant,House,exceptional-property,947000,5,320,1,0,1,1,100,1,1674,0,2114,4,C,203,As new,Luxury Properties
Wetteren,9230,Province of East Flanders,House,house,255000,2,121,1,0,0,1,10,1,40,0,130,3,F,552,Good,Houses
Blankenberge,8370,Province of West Flanders,House,house,599000,3,250,0,0,0,0,0,0,0,0,630,0,C,251,Not specified,Houses
Berlaar,2590,Province of Antwerp,House,house,549000,4,290,1,0,0,0,0,0,0,0,535,3,B,188,Not specified,Houses
Woluwe-saint-lambert,1200,Brussels-Capital Region,House,house,895000,5,328,1,0,0,1,20,1,60,0,170,2,C,142,Good,Houses
Uccle,1180,Brussels-Capital Region,Apartment,apartment,375000,2,90,1,0,0,0,0,0,0,0,0,2,D,183,To renovate,Apartments
Oud-heverlee,3050,Province of Flemish Brabant,House,house,729000,3,200,1,0,0,1,54,0,0,0,783,4,Not specified,317,Not specified,Houses
Leopoldsburg,3970,Province of Limburg,House,villa,545000,3,207,0,0,0,0,0,1,1028,0,1221,4,B,167,As new,Luxury Properties
Beersel-alsemberg,1652,Province of Flemish Brabant,House,house,379000,3,150,1,0,0,1,10,1,271,0,372,3,D,399,Good,Houses
Knokke-heist,8300,Province of West Flanders,Apartment,apartment,349500,1,46,0,0,0,0,0,0,0,0,0,0,B,152,As new,Apartments
Zwijndrecht,2070,Province of Antwerp,House,house,420000,3,173,0,0,0,0,0,0,0,0,391,0,D,367,Good,Houses
Bornem,2880,Province of Antwerp,House,house,160000,3,118,1,0,0,0,0,1,263,0,345,2,E,446,To renovate,Houses
Brasschaat,2930,Province of Antwerp,House,villa,775000,4,333,0,0,1,0,0,0,0,0,1719,4,F,605,To renovate,Luxury Properties
