Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped,Population,Avg_Taxable_Income,Number_of_Buildings,Number_of_Transactions,Add_Fearures
Province of East Flanders,Apartment,apartment,229000.0,1.0,44,B,190.0,Good,Apartments,269597,36726.16,810047,6028,False
Brussels-Capital Region,House,villa,1250000.0,4.0,584,G,402.0,To renovate,Luxury Properties,86806,43621.92,224317,19952,True
Brussels-Capital Region,House,house,875000.0,4.0,233,G,563.0,To be done up,Houses,196828,29704.33,380145,17660,True
Province of East Flanders,House,villa,825000.0,4.0,281,B,181.0,As new,Luxury Properties,31271,40141.8,100423,64215,True
Province of Antwerp,Apartment,apartment,334000.0,2.0,93,A,2.0,Not specified,Apartments,12061,39462.43,43322,6925,True
Province of East Flanders,House,house,749000.0,6.0,450,C,262.0,As new,Houses,24744,37507.01,94190,5309,True
Province of Flemish Brabant,House,house,299000.0,3.0,141,C,245.0,Good,Houses,6873,46434.67,24726,29651,False
Province of Antwerp,Apartment,apartment,210000.0,2.0,89,C,283.0,Not specified,Apartments,544759,33144.07,1227104,4398,True
Province of Namur,House,house,269000.0,3.0,130,B,118.0,Just renovated,Houses,3476,31604.16,16611,0,True
Province of Flemish Brabant,House,house,699000.0,3.0,255,B,194.0,As new,Houses,13298,54918.18,53260,29264,True
Province of Liège,House,house,59000.0,1.0,48,G,529.0,To be done up,Houses,64266,28856.29,196623,18484,True
Brussels-Capital Region,House,house,585000.0,3.0,200,E,250.0,As new,Houses,86806,43621.92,224317,19952,True
Province of Antwerp,Apartment,apartment,210000.0,2.0,89,C,283.0,Not specified,Apartments,544759,33144.07,1227104,4398,True
Province of Hainaut,House,house,159000.0,2.0,117,E,367.0,Good,Houses,81241,30288.99,268714,8570,False
Brussels-Capital Region,Apartment,apartment,299000.0,3.0,128,G,405.0,Good,Apartments,54107,31546.83,96069,5392,True
Province of East Flanders,House,apartment-block,699000.0,7.0,525,B,181.0,To renovate,Specialized Properties,90995,38691.96,291881,9696,True
Province of East Flanders,Apartment,apartment,229000.0,2.0,80,B,132.0,As new,Apartments,45471,42117.19,171088,11335,True
Province of West Flanders,House,villa,795000.0,3.0,300,Not specified,317.0,Not specified,Luxury Properties,31884,38935.71,121753,23718,False
Brussels-Capital Region,House,house,875000.0,4.0,233,G,563.0,To be done up,Houses,89278,36192.4,192538,3920,True
Province of Luxembourg,House,exceptional-property,749000.0,5.0,608,D,274.0,Good,Luxury Properties,8723,45101.61,32240,0,True
Brussels-Capital Region,House,house,850000.0,4.0,230,E,245.0,Good,Houses,86806,43621.92,224317,19952,True
